Template,mcp-typescript,cli,csharp,go,javav2,mockserver,php,postman,pythonv2,ruby,typescriptv2,unity,terraform
sets (GA),:heavy_minus_sign:,:no_entry:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:no_entry:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:heavy_minus_sign:,:white_check_mark:
sliceUnions (GA),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
acceptHeaders (Gold),:white_check_mark:,:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
additionalProperties (Gold),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
allowReserved (Gold),:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
devContainers (Gold),:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:heavy_minus_sign:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
downloadStreams (Gold),:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:heavy_minus_sign:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:
enumUnions (Gold),:white_check_mark:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:no_entry:
errorUnions (Gold),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
hiddenGlobals (Gold),:white_check_mark:,:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:
oauth2ClientCredentials (Gold),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:
